country,year,value
Russia,1994,4
Russia,1998,7
Russia,2002,5
Russia,2006,13
Russia,2010,2
Russia,2014,10
Russia-1,1998,1
Russia-1,2002,2
Russia-1,2010,1
Russia-2,1994,1
Russia-2,1998,1
Slovenia,1994,1
Slovenia,2014,1
South Korea,1994,2
South Korea,1998,2
South Korea,2002,2
South Korea,2006,6
Soviet Union,1956,2
Soviet Union,1960,4
Soviet Union,1964,5
Soviet Union,1968,3
Soviet Union,1972,3
Soviet Union,1976,10
Soviet Union,1980,7
Soviet Union,1984,6
Soviet Union,1988,5
Soviet Union-1,1964,1
Soviet Union-1,1968,1
Soviet Union-1,1984,2
Soviet Union-1,1988,1
Soviet Union-2,1980,1
Soviet Union-2,1984,1
Spain,1972,1
Spain,1992,1
Sweden,1924,1
Sweden,1928,2
Sweden,1936,3
Sweden,1948,3
Sweden,1952,3
Sweden,1956,5
Sweden,1960,2
Sweden,1964,2
Sweden,1968,2
Sweden,1972,3
Sweden,1980,1
Sweden,1984,1
Sweden,1988,2
Sweden,1992,1
Sweden,1994,1
Sweden,2002,2
Sweden,2006,3
Sweden,2010,1
Sweden,2014,3
Switzerland,1924,1
Switzerland,1928,1
Switzerland,1948,1
Switzerland,1956,4
Switzerland,1968,3
Switzerland,1972,2
Switzerland,1984,1
Switzerland,1988,2
Switzerland,1994,1
Switzerland,1998,3
Switzerland,2002,5
Switzerland,2006,1
Switzerland,2010,5
Switzerland,2014,3
Switzerland-1,1936,1
Switzerland-1,1948,1
Switzerland-1,1952,2
Switzerland-1,1956,2
Switzerland-1,1968,1
Switzerland-1,1972,1
Switzerland-1,1976,1
Switzerland-1,1980,1
Switzerland-1,1988,1
Switzerland-1,1992,2
Switzerland-1,1994,2
Switzerland-1,2002,1
Switzerland-1,2006,2
Switzerland-1,2014,1
Switzerland-2,1932,1
Switzerland-2,1936,2
Switzerland-2,1948,1
Switzerland-2,1976,1
Switzerland-2,1980,1
Switzerland-2,1994,1
Switzerland-2,2002,1
Ukraine,1994,1
Ukraine,2014,1
Unified Team,1992,5
Unified Team-1,1992,1
Unified Team-2,1992,1
United States,1924,1
United States,1928,1
United States,1932,1
United States,1948,2
United States,1952,3
United States,1956,2
United States,1960,3
United States,1964,1
United States,1968,1
United States,1972,3
United States,1980,1
United States,1984,2
United States,1988,3
United States,1992,4
United States,1994,4
United States,1998,3
United States,2002,7
United States,2006,9
United States,2010,11
United States,2014,10
United States-1,1928,1
United States-1,1932,2
United States-1,1936,1
United States-1,1948,1
United States-1,1952,2
United States-1,1956,1
United States-1,1984,1
United States-1,2006,1
United States-1,2010,1
United States-1,2014,1
United States-2,1928,1
United States-2,1932,1
United States-2,1936,1
United States-2,1948,2
United States-2,2002,1
United States-2,2014,1
Uzbekistan,1994,1
West Germany,1968,1
West Germany,1976,3
West Germany,1980,2
West Germany,1984,3
West Germany,1988,1
West Germany-1,1968,2
West Germany-1,1972,1
West Germany-1,1976,2
Yugoslavia,1988,2
